,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
91,"Ballin' (with Roddy Ricch)",Mustard,862634,https://open.spotify.com/track/3QzAOrNlsabgbMwlZt7TAY
92,"Fun Tonight","Lady Gaga",861887,https://open.spotify.com/track/6hyQVqfHFvsJDjcmj4qrHf
93,"Flex (feat. Juice WRLD)","Polo G",855947,https://open.spotify.com/track/2QqJTIlGKRLJC3onkavYEz
94,Believer,"Imagine Dragons",853522,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
95,Replay,"Lady Gaga",852382,https://open.spotify.com/track/7sKbyYeJnITO1Eh9xd0lKd
96,"when the party's over","Billie Eilish",851331,https://open.spotify.com/track/43zdsphuZLzwA9k4DJhU0I
97,"Know Your Worth",Khalid,839478,https://open.spotify.com/track/0TrPqhAMoaKUFLR7iYDokf
98,"This City","Sam Fischer",839435,https://open.spotify.com/track/3H3r2nKWa3Yk5gt8xgmsEt
99,Diosa,"Myke Towers",839088,https://open.spotify.com/track/3JHpk0DOTOzyh0777JFAky
100,"7 rings","Ariana Grande",837287,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
101,Ignorantes,"Bad Bunny",837275,https://open.spotify.com/track/38RIEav39FGi86jppxO0du
102,"rockstar (feat. 21 Savage)","Post Malone",830993,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
103,"10,000 Hours (with Justin Bieber)","Dan + Shay",830973,https://open.spotify.com/track/2wrJq5XKLnmhRXHIAf9xBa
104,"Beautiful People (feat. Khalid)","Ed Sheeran",830200,https://open.spotify.com/track/70eFcWOvlMObDhURTqT4Fv
105,"Plastic Doll","Lady Gaga",825289,https://open.spotify.com/track/3CidPLqWXqgesJlwYVJZdy
106,Morado,"J Balvin",824226,https://open.spotify.com/track/35KmOEIUqAGn02t7n4qaIr
107,Yummy,"Justin Bieber",813076,https://open.spotify.com/track/16wAOAZ2OkqoIDN7TpChjR
108,"Jocelyn Flores",XXXTENTACION,812376,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
109,"Level of Concern","Twenty One Pilots",803650,https://open.spotify.com/track/6xZ4Q2k2ompmDppyeESIY8
110,SAD!,XXXTENTACION,802527,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
111,"Fútbol & Rumba (feat. Enrique Iglesias)","Anuel AA",799958,https://open.spotify.com/track/2hDe0Ls5mVqs1XJqv7sbcM
112,Salt,"Ava Max",788846,https://open.spotify.com/track/7vgv8KZBSo0TPzyIWG9yzV
113,"El Efecto","Rauw Alejandro",787133,https://open.spotify.com/track/4SJHHpKhcuXwDsCsPqshXj
114,"BELIEVE IT",PARTYNEXTDOOR,784240,https://open.spotify.com/track/4HDCLYli2SUdkq9OjmvhSD
115,"PA' ROMPERLA","Bad Bunny",780892,https://open.spotify.com/track/5XqCz18k96K8tx6DAYM97i
116,Happier,Marshmello,780755,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
117,Babylon,"Lady Gaga",779467,https://open.spotify.com/track/5DttNeiizFqWUON9hZBqTY
118,"Chromatica II","Lady Gaga",774056,https://open.spotify.com/track/0oQc0F6KUE7QY7k5TU6bic
119,"Like It Is",Kygo,771193,https://open.spotify.com/track/4dyrqiXUcK29hzrL2elqO3
120,Ransom,"Lil Tecca",769873,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO
121,"Shape of You","Ed Sheeran",767613,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
122,"Si Veo a Tu Mamá","Bad Bunny",763830,https://open.spotify.com/track/41wtwzCZkXwpnakmwJ239F
123,"Higher Love",Kygo,763611,https://open.spotify.com/track/1kKYjjfNYxE0YYgLa7vgVY
124,China,"Anuel AA",761378,https://open.spotify.com/track/0KkIkfsLEJbrcIhYsCL7L5
125,"Say You Won't Let Go","James Arthur",760869,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
126,Robbery,"Juice WRLD",759924,https://open.spotify.com/track/6Hj9jySrnFppAI0sEMCZpJ
127,"High Fashion (feat. Mustard)","Roddy Ricch",755833,https://open.spotify.com/track/07KXEDMj78x68D884wgVEm
128,Falling,"Harry Styles",754491,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
129,"Bohemian Rhapsody - 2011 Mix",Queen,751730,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
130,Myron,"Lil Uzi Vert",750952,https://open.spotify.com/track/56uXDJRCuoS7abX3SkzHKQ
131,Selfish,"Madison Beer",747446,https://open.spotify.com/track/4PV0uE5pZSh44E3NqNNDEH
132,PAM,"Justin Quiles",742215,https://open.spotify.com/track/0eeKDrQxjqNl5bX5VCHDcn
133,"OUT WEST (feat. Young Thug)",JACKBOYS,739878,https://open.spotify.com/track/6gi6y1xwmVszDWkUqab1qw
134,"I’m Ready (with Demi Lovato)","Sam Smith",733045,https://open.spotify.com/track/1fipvP2zmef6vN2IwXfJhY
135,"BYE ME FUI","Bad Bunny",731983,https://open.spotify.com/track/0FktnzDqjClqU6iqOZVEs2
136,Perfect,"Ed Sheeran",729960,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
137,"Like That (feat. Gucci Mane)","Doja Cat",726990,https://open.spotify.com/track/4EivmOT13NMpNSfTKn9p4s
138,"Bandit (with YoungBoy Never Broke Again)","Juice WRLD",724825,https://open.spotify.com/track/6Gg1gjgKi2AK4e0qzsR7sd
139,"Without Me",Halsey,722719,https://open.spotify.com/track/6FZDfxM3a3UCqtzo5pxSLZ
140,"Goodbyes (feat. Young Thug)","Post Malone",719692,https://open.spotify.com/track/0t3ZvGKlmYmVsDzBJAXK8C
141,"Rover (feat. DTG)",S1mba,719408,https://open.spotify.com/track/4slSrbTK1sNK4I1mDYEthf
142,Lalala,Y2K,717530,https://open.spotify.com/track/51Fjme0JiitpyXKuyQiCDo
143,"It's You","Ali Gatie",717517,https://open.spotify.com/track/5DqdesEfbRyOlSS3Tf6c29
144,"Broken Glass",Kygo,716476,https://open.spotify.com/track/78ldtCaBRJVp2i91B715L0
145,Azul,"J Balvin",712232,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
146,"Hola - Remix",Dalex,702818,https://open.spotify.com/track/5stPVcRqb4qixbafP9e8lt
147,BOP,DaBaby,700899,https://open.spotify.com/track/6Ozh9Ok6h4Oi1wUSLtBseN
148,Youngblood,"5 Seconds of Summer",684974,https://open.spotify.com/track/2iUXsYOEPhVqEBwsqP70rE
149,P2,"Lil Uzi Vert",678077,https://open.spotify.com/track/3kW4z2pIj5VY5fLjBrMRL5
150,"1000 Doves","Lady Gaga",675236,https://open.spotify.com/track/62hTXlVQacy3pjBW4ntRPl
151,"IDK You Yet","Alexander 23",674104,https://open.spotify.com/track/47EWMOElkkbMp5m9SBkx7d
152,"In Your Eyes (feat. Alida)","Robin Schulz",673970,https://open.spotify.com/track/61ZM92T2zaXIVsqncThQzC
153,"Sigues Con El","Dímelo Flow",673123,https://open.spotify.com/track/7sQKy5vlPQllr0k9IjYJv3
154,"Sweet but Psycho","Ava Max",672271,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
155,"Be Alright","Dean Lewis",670080,https://open.spotify.com/track/5qrSlOut2rNAWv3ubArkNy
156,Bruises,"Lewis Capaldi",669924,https://open.spotify.com/track/4Of7rzpRpV1mWRbhp5rAqG
157,"Solitaires (feat. Travis Scott)",Future,669875,https://open.spotify.com/track/4kfeRwpq5KUaqTkgi4TbDF
158,"DOLLAZ ON MY HEAD (feat. Young Thug)",Gunna,664571,https://open.spotify.com/track/3nS9a01VvXHQriLqJYwRqG
