,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
103,"Me Gusta (with Cardi B & Myke Towers)",Anitta,1007740,https://open.spotify.com/track/7e1VoRlNumuEkXlITMHKLE
104,"Party Girl",StaySolidRocky,999429,https://open.spotify.com/track/3IJYUaN3tx04S4TYyZHKoP
105,"7 rings","Ariana Grande",998069,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
106,"Lean (feat. Towy, Osquel, Beltito & Sammy & Falsetto)","Super Yei",987689,https://open.spotify.com/track/5DoLhdU27owX1NMrKLUbUl
107,Believer,"Imagine Dragons",985553,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
108,Azul,"J Balvin",982888,https://open.spotify.com/track/2lCkncy6bIB0LTMT7kvrD1
109,"Investe Em Mim","Jonas Esticado",976910,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
110,ROXANNE,"Arizona Zervas",961275,https://open.spotify.com/track/696DnlkuDOXcMAnKlTgXXK
111,Dior,"Pop Smoke",960699,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
112,"Electric Love",BØRNS,959475,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
113,"Life Is Good (feat. Drake)",Future,959018,https://open.spotify.com/track/1K5KBOgreBi5fkEHvg5ap3
114,"If the World Was Ending - feat. Julia Michaels","JP Saxe",956855,https://open.spotify.com/track/2kJwzbxV2ppxnQoYw4GLBZ
115,"Sweater Weather","The Neighbourhood",947299,https://open.spotify.com/track/2QjOHCTQ1Jl3zawyYOpxh6
116,"Ride It",Regard,938730,https://open.spotify.com/track/2tnVG71enUj33Ic2nFN6kZ
117,"Don Don","Daddy Yankee",933251,https://open.spotify.com/track/3kml9ZdpT7UYk1ugkjqOzt
118,"Be Like That - feat. Swae Lee & Khalid","Kane Brown",930727,https://open.spotify.com/track/5f1joOtoMeyppIcJGZQvqJ
119,"Ayer Me Llamó Mi Ex (feat. Lenny Santos)",KHEA,930066,https://open.spotify.com/track/6C6mUonH6MNdSg5pw7kOc9
120,"You Got It",Vedo,928002,https://open.spotify.com/track/4lsHZ92XCFOQfzJFBTluk8
121,"GREECE (feat. Drake)","DJ Khaled",924643,https://open.spotify.com/track/35RJhm1pEovTBwnNR0zWad
122,Falling,"Harry Styles",907790,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
123,"Smile (with The Weeknd)","Juice WRLD",898546,https://open.spotify.com/track/6wQlQrTY5mVS8EGaFZVwVF
124,"Mr. Right Now (feat. Drake)","21 Savage",896197,https://open.spotify.com/track/4Q34FP1AT7GEl9oLgNtiWj
125,"Say You Won't Let Go","James Arthur",892570,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
